729,20076378,loony_dev,1.0
730,20076410,submagic,1.0
731,20078710,andy_p,1.0
732,20078928,submagic,1.0
733,20080120,nfw,1.0
734,20080160,submagic,1.0
735,20084892,vikarti,1.0
736,20080682,dplsoft,1.0
737,20076398,submagic,1.0
738,20076654,Shished,1.0
739,20076660,submagic,1.0
740,20078424,anton19286,1.0
741,20101030,perfect_genius,1.0
742,20080694,dplsoft,1.0
743,20079992,sergeyns,1.0
744,20085062,AlexElkin,1.0
745,20089332,Kocmohabt314,1.0
746,20076632,red_andr,1.0
747,20076762,old_bear,1.0
748,20076910,shalm,1.0
749,20077108,CrazyRoot,1.0
750,20079790,Aingis,1.0
751,20080710,dplsoft,1.0
752,20091024,CrazyRoot,1.0
753,20093144,Kate1313,1.0
754,20094578,CrazyRoot,1.0
755,20081060,jawaharlalnehru,1.0
756,20077170,submagic,1.0
757,20078116,MaxDamage,1.0
758,20080142,submagic,1.0
759,20081458,Bluewolf,1.0
760,20081490,submagic,1.0
761,20089368,Kocmohabt314,1.0
762,20089408,submagic,1.0
763,20081450,Bluewolf,1.0
764,20081504,submagic,1.0
765,20085064,Prophead,1.0
766,20085066,Loved,1.0
767,20078732,red75prim,1.0
768,20081016,Kate1313,1.0
769,20084258,slavae,1.0
770,20082956,lotse8,1.0
771,20089402,Kocmohabt314,1.0
772,449494,olepav,0.0
773,20075728,amarao,1.0
774,20075768,olepav,1.0
775,20076100,Koneru,1.0
776,20076118,Kurt,1.0
777,20076198,Koneru,1.0
778,20076612,Kurt,1.0
779,20078456,Koneru,1.0
780,20082630,Artyom_Shegeda,1.0
781,449430,OShapovalov,0.0
782,20073714,KonkovVladimir,1.0
783,20073874,OShapovalov,1.0
784,20074136,Kot_Dymok,1.0
785,20073976,superstarstas306,1.0
786,20074180,OShapovalov,1.0
787,20079054,superstarstas306,1.0
788,446032,nidalee,0.0
789,20072196,AngReload,1.0
790,20072220,nidalee,1.0
791,20072332,Tzimie,1.0
792,20072356,nidalee,1.0
793,20072362,Tzimie,1.0
794,20072374,nidalee,1.0
795,20072388,Vitalley,1.0
796,20072398,nidalee,1.0
797,20099740,Gordio,1.0
798,20072670,ValdikSS,1.0
799,20072694,nidalee,1.0
800,20072906,ValdikSS,1.0
801,20073316,AngReload,1.0
802,20073928,zartarn,1.0
803,20074010,nidalee,1.0
804,20075024,ValdikSS,1.0
805,20078604,zartarn,1.0
806,20074912,Tzimie,1.0
807,20074924,nidalee,1.0
808,20074974,Tzimie,1.0
809,20074976,NetBUG,1.0
810,20074996,nidalee,1.0
811,20102084,KvanTTT,1.0
812,20075844,afejie4,1.0
813,20075850,nidalee,1.0
814,20079408,afejie4,1.0
815,449124,Kamil_Safin,0.0
816,449120,catamoron,0.0
817,20064734,Tsvetik,1.0
818,20065030,catamoron,1.0
819,20067178,QDeathNick,1.0
820,20067762,alekssamos,1.0
821,20069280,Naton_Krush,1.0
822,20069294,catamoron,1.0
823,20069282,igordoge,1.0
824,20069316,catamoron,1.0
825,20069610,torgeek,1.0
826,20070192,catamoron,1.0
827,448892,Grigoriy_Alekseev,0.0
828,20058142,cheaTTer,1.0
829,20059382,ifqthenp,1.0
830,20059688,shappiron,1.0
831,20068088,Pandorin,1.0
832,20072460,QtRoS,1.0
833,20110224,roryorangepants,1.0
834,448140,dmitrybugaychenko,0.0
835,448308,m31,0.0
836,20034110,m31,1.0
837,447414,Bulanov,0.0
838,20029378,xFFFF,1.0
839,20054000,msgeek,1.0
840,446738,nvpushkarskiy2,0.0
841,20028800,KMiNT21,1.0
842,20031058,Nikulio,1.0
843,20059756,vaservaser,1.0
844,447910,flashberry,0.0
845,20023714,vyo,1.0
846,20024120,WeberWebber,1.0
847,20024166,ifqthenp,1.0
848,20024268,fivehouse,1.0
849,447896,ITSumma,0.0
850,20025794,nikolay_karelin,1.0
851,20027286,Bas1l,1.0
852,20031270,kuza2000,1.0
853,20032256,Uglevod,1.0
854,447806,SLY_G,0.0
855,20020642,rsashka,1.0
856,20021138,Daemonis,1.0
857,20021314,rsashka,1.0
858,20029854,leshabirukov,1.0
859,20020950,old_bear,1.0
860,20022692,napa3um,1.0
861,20024942,VDG,1.0
862,447494,Yurec666,0.0
863,20018012,EobardThawne,1.0
864,447708,Christina29,0.0
865,447448,szobin,0.0
866,20006700,ni-co,1.0
867,20006712,szobin,1.0
868,20007718,Duduka,1.0
869,20007794,szobin,1.0
870,20012036,Lendges,1.0
871,20013610,Akon32,1.0
872,20013890,Lendges,1.0
873,20028904,Akon32,1.0
874,20045456,Lendges,1.0
875,20046766,Akon32,1.0
876,20048322,Lendges,1.0
